Merk;Naam;Vega, Vegan, Waarschijnlijk vegan;Verkrijgbaar bij;Categorie;Subcategorie;Subcategorie
Sultana;YoFruit framboos;Vega;A-merk;Tussendoor;Zoet;
Sultana;Goodmorning cranberry;Vega;A-merk;Tussendoor;Zoet;
Sultana;Boordebol granen bosbes;Vega;A-merk;Tussendoor;Zoet;
AH;Meergranenbiscuit appel;Vega;Albert Heijn;Tussendoor;Zoet;
Liga;Milkbreak melk;Vega;A-merk;Tussendoor;Zoet;
Liga;Milkbreak bosvruchten-framboos;Vega;A-merk;Tussendoor;Zoet;
Nutella;B-ready;Vega;A-merk;Tussendoor;Zoet;
AH;Fruitbiscuits naturel;Vega;Albert Heijn;Tussendoor;Zoet;
Liga;Evergreen crunchy appel-peer;Vega;A-merk;Tussendoor;Zoet;
AH;Melkbiscuit chocosmaak;Vega;A-merk;Tussendoor;Zoet;
AH;Apfelstrudel;Vegan;Albert Heijn;Tussendoor;Gebak;Diepvries
Rocky rice;Choco-orange rijstreep;Vegan;Action;Tussendoor;Zoet;
Rocky rice;Chocolade rijstreep;Vegan;Action;Tussendoor;Zoet;
Hema;Appelkruimeltaart;Vegan;Hema;Tussendoor;Gebak;Vers
Bolletje;Goed bezig krokante graanrepen Waldkorn;Vegan;A-merk;Tussendoor;Zoet;
Bolletje;Goed bezig krokante graanrepen Cranberry;Vegan;A-merk;Tussendoor;Zoet;
Bolletje;Goed bezig Havermoutrepen rood fruit;Vega;A-merk;Tussendoor;Zoet;
Bolletje;Goed bezig Stevige havermoutreep naturel;Vega;A-merk;Tussendoor;Zoet;
Pringles;Pringles Paprika;Vegan;A-merk;Tussendoor;Hartig;Chips
Pringles;Pringles Original;Vegan;A-merk;Tussendoor;Hartig;Chips
Pringles;Pringles Texas BBQ;Vegan;A-merk;Tussendoor;Hartig;Chips
Lay's;Lay's naturel light;Vegan;A-merk;Tussendoor;Hartig;Chips
Lay's;Lay's Naturel;Vegan;A-merk;Tussendoor;Hartig;Chips
Lay's;Lay's Oven baked naturel;Vegan;A-merk;Tussendoor;Hartig;Chips
Lay's;Lay's strong chili&lime;Vegan;A-merk;Tussendoor;Hartig;Chips
Lay's;Lay's Poppables roasted paprika;Vegan;A-merk;Tussendoor;Hartig;Chips
Lay's;Lay's Sensations Japanese wasabi & ginger;Vegan;A-merk;Tussendoor;Hartig;Chips
Lay's;Lay's Oven baked barbecue;Vegan;A-merk;Tussendoor;Hartig;Chips
Lay's;Lay's Poppables Sweet chili;Vegan;A-merk;Tussendoor;Hartig;Chips
Lay's;Lay's Superchips naturel;Vegan;A-merk;Tussendoor;Hartig;Chips
Croky;Paprika;Vegan;A-merk;Tussendoor;Hartig;Chips
Chio;Heart breakers;Vegan;A-merk;Tussendoor;Hartig;Chips
Pombar;Original;Vegan;A-merk;Tussendoor;Hartig;Chips
Croky;Bolognese;Vegan;A-merk;Tussendoor;Hartig;Chips
Kettle;Sea salt & Rosemary;Vegan;A-merk;Tussendoor;Hartig;Chips
Lay's;Wokkels paprika;Vegan;A-merk;Tussendoor;Hartig;Chips
Remia;Satésaus;Vegan;A-merk;Avondeten;Sauzen;
Remia;Mayolijn;Vegan;A-merk;Avondeten;Sauzen;
Katja;Zure matjes;Vegan;A-merk;Tussendoor;Snoep;
